,algo,max_torque,m,l,reward_sum,success
0,ppo_random,2.05857620471279,1.1291136198234517,1.0616580256429864,-311.7329,1.0
1,ppo_multitask,2.05857620471279,1.1291136198234517,1.0616580256429864,-297.12125,1.0
2,diffdac,2.05857620471279,1.1291136198234517,1.0616580256429864,-401.97495,1.0
3,ppo_random,1.9004264056430888,1.1321946960652949,0.7000686248904069,-113.76731,1.0
4,ppo_multitask,1.9004264056430888,1.1321946960652949,0.7000686248904069,-110.42243,1.0
5,diffdac,1.9004264056430888,1.1321946960652949,0.7000686248904069,-237.87184,1.0
6,ppo_random,1.9231938825704045,0.7155557390967348,1.0297974867272255,-114.32389,1.0
7,ppo_multitask,1.9231938825704045,0.7155557390967348,1.0297974867272255,-114.32113,1.0
8,diffdac,1.9231938825704045,0.7155557390967348,1.0297974867272255,-247.56834,1.0
9,ppo_random,2.0609574830894903,1.1248886935708629,0.8745428433477666,-126.91309,1.0
10,ppo_multitask,2.0609574830894903,1.1248886935708629,0.8745428433477666,-125.31685,1.0
11,diffdac,2.0609574830894903,1.1248886935708629,0.8745428433477666,-247.91609,1.0
12,ppo_random,2.560435806816412,1.0283393495054334,1.2836106159789307,-127.86884,1.0
13,ppo_multitask,2.560435806816412,1.0283393495054334,1.2836106159789307,-123.0303,1.0
14,diffdac,2.560435806816412,1.0283393495054334,1.2836106159789307,-255.84593,1.0
15,ppo_random,1.6663918053076874,1.2224393837064258,0.8240314932036559,-481.3772,1.0
16,ppo_multitask,1.6663918053076874,1.2224393837064258,0.8240314932036559,-356.65112,1.0
17,diffdac,1.6663918053076874,1.2224393837064258,0.8240314932036559,-478.1251,1.0
18,ppo_random,2.471432181723202,0.8991878831807063,1.1927374738346992,-135.29222,1.0
19,ppo_multitask,2.471432181723202,0.8991878831807063,1.1927374738346992,-135.02428,1.0
20,diffdac,2.471432181723202,0.8991878831807063,1.1927374738346992,-137.76158,1.0
21,ppo_random,1.4915699472487485,1.1679512753440688,0.963045538864536,-756.90656,0.0
22,ppo_multitask,1.4915699472487485,1.1679512753440688,0.963045538864536,-125.99035,1.0
23,diffdac,1.4915699472487485,1.1679512753440688,0.963045538864536,-127.54249,1.0
24,ppo_random,2.4481152833501794,1.2811243976925593,1.221516724128352,-128.71753,1.0
25,ppo_multitask,2.4481152833501794,1.2811243976925593,1.221516724128352,-128.83673,1.0
26,diffdac,2.4481152833501794,1.2811243976925593,1.221516724128352,-520.7162,0.0
27,ppo_random,1.4124489846628399,1.0011247552892433,0.9974639758804876,-1.4094346,1.0
28,ppo_multitask,1.4124489846628399,1.0011247552892433,0.9974639758804876,-1.6705346,1.0
29,diffdac,1.4124489846628399,1.0011247552892433,0.9974639758804876,-129.18857,1.0
30,ppo_random,2.325584771920095,0.7124511696156408,1.0801889409557652,-138.10632,1.0
31,ppo_multitask,2.325584771920095,0.7124511696156408,1.0801889409557652,-136.28902,1.0
32,diffdac,2.325584771920095,0.7124511696156408,1.0801889409557652,-265.6485,1.0
33,ppo_random,1.616323626652123,0.7116851448925747,0.9779311158990067,-0.40316114,1.0
34,ppo_multitask,1.616323626652123,0.7116851448925747,0.9779311158990067,-0.71578205,1.0
35,diffdac,1.616323626652123,0.7116851448925747,0.9779311158990067,-0.44716483,1.0
36,ppo_random,1.5849954108556068,1.1440298179092427,0.8579890091110808,-749.2382,0.0
37,ppo_multitask,1.5849954108556068,1.1440298179092427,0.8579890091110808,-127.08946,1.0
38,diffdac,1.5849954108556068,1.1440298179092427,0.8579890091110808,-126.78088,1.0
39,ppo_random,2.333242892688584,0.8425247320209474,1.194567119596821,-130.22552,1.0
40,ppo_multitask,2.333242892688584,0.8425247320209474,1.194567119596821,-129.21158,1.0
41,diffdac,2.333242892688584,0.8425247320209474,1.194567119596821,-258.86124,1.0
42,ppo_random,2.0167320125272283,1.163899031247578,1.2222566114348876,-257.7804,1.0
43,ppo_multitask,2.0167320125272283,1.163899031247578,1.2222566114348876,-252.26459,1.0
44,diffdac,2.0167320125272283,1.163899031247578,1.2222566114348876,-511.55106,1.0
45,ppo_random,2.4185812367222947,0.8073375549525991,0.7326179285838588,-106.73445,1.0
46,ppo_multitask,2.4185812367222947,0.8073375549525991,0.7326179285838588,-106.3576,1.0
47,diffdac,2.4185812367222947,0.8073375549525991,0.7326179285838588,-110.8233,1.0
48,ppo_random,1.6679492949842465,1.0138980048404056,1.0304208739487086,-365.23117,1.0
49,ppo_multitask,1.6679492949842465,1.0138980048404056,1.0304208739487086,-356.2414,1.0
50,diffdac,1.6679492949842465,1.0138980048404056,1.0304208739487086,-487.5241,1.0
51,ppo_random,1.7535980032245315,1.0183520533631765,0.8149124721684968,-122.753204,1.0
52,ppo_multitask,1.7535980032245315,1.0183520533631765,0.8149124721684968,-122.13289,1.0
53,diffdac,1.7535980032245315,1.0183520533631765,0.8149124721684968,-120.83058,1.0
54,ppo_random,2.18044909008751,1.0032720242409057,1.2271608825529312,-128.46263,1.0
55,ppo_multitask,2.18044909008751,1.0032720242409057,1.2271608825529312,-126.765236,1.0
56,diffdac,2.18044909008751,1.0032720242409057,1.2271608825529312,-131.31082,1.0
57,ppo_random,1.5170403220993418,1.1567498300049137,0.8481627838997963,-373.28244,1.0
58,ppo_multitask,1.5170403220993418,1.1567498300049137,0.8481627838997963,-251.40947,1.0
59,diffdac,1.5170403220993418,1.1567498300049137,0.8481627838997963,-124.66052,1.0
60,ppo_random,2.105756961292729,1.238628236745651,1.2349184376848248,-129.54227,1.0
61,ppo_multitask,2.105756961292729,1.238628236745651,1.2349184376848248,-129.78131,1.0
62,diffdac,2.105756961292729,1.238628236745651,1.2349184376848248,-530.48456,0.0
63,ppo_random,1.4584698569709527,0.8734657958738901,1.132579808098738,-130.63489,1.0
64,ppo_multitask,1.4584698569709527,0.8734657958738901,1.132579808098738,-130.167,1.0
65,diffdac,1.4584698569709527,0.8734657958738901,1.132579808098738,-258.68845,1.0
66,ppo_random,1.650152644830611,0.9890086370580196,0.9523228211886248,-238.50131,1.0
67,ppo_multitask,1.650152644830611,0.9890086370580196,0.9523228211886248,-234.08257,1.0
68,diffdac,1.650152644830611,0.9890086370580196,0.9523228211886248,-359.7378,1.0
69,ppo_random,2.020757460615907,1.2681775622888884,1.1592758556381442,-131.69092,1.0
70,ppo_multitask,2.020757460615907,1.2681775622888884,1.1592758556381442,-131.32133,1.0
71,diffdac,2.020757460615907,1.2681775622888884,1.1592758556381442,-128.21095,1.0
72,ppo_random,2.5520207640031023,1.1197072299697457,1.2999203755743276,-259.80255,1.0
73,ppo_multitask,2.5520207640031023,1.1197072299697457,1.2999203755743276,-258.69073,1.0
74,diffdac,2.5520207640031023,1.1197072299697457,1.2999203755743276,-392.77255,1.0
75,ppo_random,2.4441489639526544,1.049366157203536,0.8673033644206414,-0.4809757,1.0
76,ppo_multitask,2.4441489639526544,1.049366157203536,0.8673033644206414,-0.38431087,1.0
77,diffdac,2.4441489639526544,1.049366157203536,0.8673033644206414,-0.53141284,1.0
78,ppo_random,1.769521943149965,1.0116348875831804,1.1609785969227842,-131.30605,1.0
79,ppo_multitask,1.769521943149965,1.0116348875831804,1.1609785969227842,-126.45007,1.0
80,diffdac,1.769521943149965,1.0116348875831804,1.1609785969227842,-256.05392,1.0
81,ppo_random,1.910865692622675,1.1887502442967315,1.1412383741198078,-388.66104,1.0
82,ppo_multitask,1.910865692622675,1.1887502442967315,1.1412383741198078,-385.96152,1.0
83,diffdac,1.910865692622675,1.1887502442967315,1.1412383741198078,-387.05606,1.0
84,ppo_random,2.274816490746943,1.0367437613965846,0.7749802552055445,-232.21509,1.0
85,ppo_multitask,2.274816490746943,1.0367437613965846,0.7749802552055445,-231.27628,1.0
86,diffdac,2.274816490746943,1.0367437613965846,0.7749802552055445,-219.92984,1.0
87,ppo_random,2.4365119826840997,0.870943579136576,0.7439538328502415,-94.13621,1.0
88,ppo_multitask,2.4365119826840997,0.870943579136576,0.7439538328502415,-93.39212,1.0
89,diffdac,2.4365119826840997,0.870943579136576,0.7439538328502415,-93.626625,1.0
90,ppo_random,2.1729722432820022,0.9284490937810699,1.0978287432014011,-132.29144,1.0
91,ppo_multitask,2.1729722432820022,0.9284490937810699,1.0978287432014011,-131.57779,1.0
92,diffdac,2.1729722432820022,0.9284490937810699,1.0978287432014011,-131.32956,1.0
93,ppo_random,1.7432645859926188,1.2748633399114002,1.1621877593313268,-0.2617016,1.0
94,ppo_multitask,1.7432645859926188,1.2748633399114002,1.1621877593313268,-0.8799903,1.0
95,diffdac,1.7432645859926188,1.2748633399114002,1.1621877593313268,-386.995,0.0
96,ppo_random,2.4306671207516475,0.923626692985168,1.033077266799158,-129.63138,1.0
97,ppo_multitask,2.4306671207516475,0.923626692985168,1.033077266799158,-129.36015,1.0
98,diffdac,2.4306671207516475,0.923626692985168,1.033077266799158,-129.05034,1.0
99,ppo_random,1.6982121529252758,0.9699852526304773,0.9465644817979244,-241.38225,1.0
100,ppo_multitask,1.6982121529252758,0.9699852526304773,0.9465644817979244,-237.82098,1.0
101,diffdac,1.6982121529252758,0.9699852526304773,0.9465644817979244,-364.35202,1.0
102,ppo_random,1.4462740170576915,1.168060276314805,0.7556222532004799,-953.83374,0.0
103,ppo_multitask,1.4462740170576915,1.168060276314805,0.7556222532004799,-226.64938,1.0
104,diffdac,1.4462740170576915,1.168060276314805,0.7556222532004799,-228.18034,1.0
105,ppo_random,1.9496659378689087,0.885009764178947,0.8388922270213374,-1.4813185,1.0
106,ppo_multitask,1.9496659378689087,0.885009764178947,0.8388922270213374,-1.7965226,1.0
107,diffdac,1.9496659378689087,0.885009764178947,0.8388922270213374,-132.71692,1.0
108,ppo_random,2.2742086299148707,1.060968527422128,1.2713084004436084,-132.09816,1.0
109,ppo_multitask,2.2742086299148707,1.060968527422128,1.2713084004436084,-129.00789,1.0
110,diffdac,2.2742086299148707,1.060968527422128,1.2713084004436084,-257.3502,1.0
111,ppo_random,2.5333959234287686,0.9784589045826446,0.8156770173742945,-104.75451,1.0
